Bike_Model,Age,Service_Type,Service_History,Service_Time (hours:minutes),Build_Year,Mileage (km),Last_Serviced_Date (months),Current_Year
Yamaha R15 V1,11,Coolant Oil Change,15,09:13,2012,46813,2,2023
Yamaha MT15 v1,5,Chain Inspection,19,07:53,2018,23874,6,2023
Yamaha R15 V2,9,Fork Oil Change,-2,09:14,2014,48789,6,2023
Yamaha MT15 v1,6,Complete Check Up,31,10:-5,2017,25629,4,2023
Yamaha R15 V3,8,Air Filter Change,21,08:24,2015,23159,9,2023
Yamaha R15 V2,9,Coolant Oil Change,10,07:51,2014,27789,13,2023
Yamaha R15 V1,11,Complete Check Up,-5,21:41,2012,63984,0,2023
Yamaha R15 V1,1,Oil Change,21,-2:18,2022,10536,8,2023
Yamaha R15 V4,12,Brake Inspection,3,11:04,2011,48689,1,2023
Yamaha FZ 250,12,Complete Check Up,25,25:21,2011,44254,7,2023
Yamaha FZ V3,1,Fork Oil Change,9,01:64,2022,26893,10,2023
Yamaha MT15 v1,4,Coolant Oil Change,2,04:03,2019,53284,5,2023
Yamaha FZ V1,6,Brake Fluid Change,10,06:49,2017,46774,10,2023
Yamaha FZ V1,13,Coolant Oil Change,23,12:-22,2010,65801,6,2023
Yamaha R15 V3,3,Air Filter Change,16,05:60,2020,39393,9,2023
Yamaha FZ X,8,Brake Fluid Change,-1,05:38,2015,4811,10,2023
Yamaha FZ V2,7,Oil Change,20,05:39,2016,40624,5,2023
Yamaha FZ V3,13,Brake Fluid Change,26,12:-13,2010,44107,7,2023
Yamaha FZ 250,6,Oil Change,29,08:28,2017,52351,9,2023
Yamaha MT15 v2,13,Chain Inspection,24,16:60,2010,10894,0,2023
Yamaha FZ X,12,Complete Check Up,26,21:39,2011,14774,3,2023
Yamaha FZ X,13,Fork Oil Change,3,14:11,2010,27375,1,2023
Yamaha R15 V2,4,Coolant Oil Change,21,04:25,2019,46915,7,2023
Yamaha R15 V1,12,Chain Inspection,4,15:07,2011,21287,8,2023
Yamaha FZ V1,12,Oil Change,7,10:-3,2011,19012,2,2023
Yamaha FZ X,11,Brake Fluid Change,26,10:35,2012,52852,9,2023
Yamaha MT15 v1,5,Chain Inspection,31,06:-16,2018,19745,4,2023
Yamaha R15 V3,4,Air Filter Change,3,01:19,2019,22614,4,2023
Yamaha R15 V3,10,Air Filter Change,9,08:19,2013,51359,4,2023
Yamaha FZ V1,6,Brake Inspection,21,07:10,2017,57092,8,2023
Yamaha FZ V1,9,Air Filter Change,10,10:06,2014,31881,6,2023
Yamaha FZ V3,3,Fork Oil Change,2,04:35,2020,9506,1,2023
Yamaha FZ 250,6,Brake Inspection,6,07:79,2017,51598,3,2023
Yamaha FZ V1,8,Complete Check Up,12,17:55,2015,51378,4,2023
Yamaha MT15 v1,2,Coolant Oil Change,27,01:04,2021,30315,5,2023
Yamaha R15 V2,4,Air Filter Change,27,03:34,2019,19018,9,2023
Yamaha FZ V1,13,Fork Oil Change,20,15:45,2010,17481,7,2023
Yamaha FZ V3,6,Oil Change,13,06:28,2017,45834,3,2023
Yamaha MT15 v1,1,Air Filter Change,15,-1:50,2022,26101,4,2023
Yamaha R15 V1,6,Oil Change,26,03:24,2017,45931,9,2023
Yamaha R15 V1,12,Chain Inspection,6,10:30,2011,39349,12,2023
Yamaha R15 V1,11,Brake Fluid Change,21,14:-6,2012,56459,3,2023
Yamaha FZ X,11,Oil Change,-2,14:-10,2012,44667,14,2023
Yamaha R15 V4,0,Chain Inspection,1,-2:35,2023,34114,9,2023
Yamaha FZ V1,7,Chain Inspection,19,07:19,2016,40827,3,2023
Yamaha FZ X,1,Complete Check Up,7,-1:48,2022,30559,11,2023
Yamaha R15 V3,2,Fork Oil Change,2,02:29,2021,40139,1,2023
Yamaha FZ V1,12,Chain Inspection,25,15:14,2011,37134,11,2023
Yamaha FZ X,6,Coolant Oil Change,32,04:-6,2017,35780,13,2023
Yamaha R15 V3,13,Fork Oil Change,10,14:52,2010,18439,6,2023
Yamaha R15 V3,7,Fork Oil Change,12,10:-22,2016,48602,10,2023
Yamaha FZ V1,6,Brake Fluid Change,25,04:48,2017,9918,11,2023
Yamaha R15 V1,11,Air Filter Change,5,08:16,2012,63967,7,2023
Yamaha R15 V1,7,Air Filter Change,-1,09:16,2016,55565,4,2023
Yamaha R15 V4,1,Coolant Oil Change,28,02:39,2022,32468,7,2023
Yamaha R15 V4,3,Brake Fluid Change,12,04:-4,2020,11560,7,2023
Yamaha R15 V4,3,Chain Inspection,14,02:-7,2020,40564,3,2023
Yamaha FZ X,9,Fork Oil Change,8,09:56,2014,40055,4,2023
Yamaha R15 V4,12,Fork Oil Change,3,12:09,2011,51350,3,2023
Yamaha R15 V1,2,Oil Change,34,02:18,2021,36599,1,2023
Yamaha FZ V3,4,Coolant Oil Change,13,05:81,2019,53594,7,2023
Yamaha R15 V1,9,Oil Change,3,09:32,2014,46268,5,2023
Yamaha FZ V2,4,Brake Inspection,18,06:-5,2019,13598,11,2023
Yamaha MT15 v1,7,Fork Oil Change,21,06:-6,2016,44549,1,2023
Yamaha FZ X,6,Oil Change,11,03:-9,2017,23728,10,2023
Yamaha FZ 250,6,Fork Oil Change,3,09:35,2017,15320,0,2023
Yamaha R15 V1,13,Air Filter Change,12,16:65,2010,14310,7,2023
Yamaha FZ X,9,Brake Fluid Change,25,06:-2,2014,6416,11,2023
Yamaha MT15 v1,8,Coolant Oil Change,10,11:-11,2015,31435,11,2023
Yamaha R15 V4,13,Brake Inspection,18,15:14,2010,55693,2,2023
Yamaha R15 V2,13,Brake Fluid Change,6,13:32,2010,44974,9,2023
Yamaha FZ V3,9,Coolant Oil Change,28,06:13,2014,32979,8,2023
Yamaha R15 V1,7,Oil Change,4,04:14,2016,38772,-2,2023
Yamaha FZ 250,2,Chain Inspection,15,04:-14,2021,37457,4,2023
Yamaha FZ V3,4,Fork Oil Change,4,04:15,2019,48592,12,2023
Yamaha FZ V3,13,Complete Check Up,31,22:39,2010,57497,1,2023
Yamaha R15 V1,13,Coolant Oil Change,1,13:-8,2010,16421,3,2023
Yamaha MT15 v2,2,Brake Inspection,19,02:31,2021,38655,2,2023
Yamaha FZ V2,12,Brake Fluid Change,21,09:-13,2011,36931,10,2023
Yamaha FZ X,3,Fork Oil Change,27,05:24,2020,14660,12,2023
Yamaha MT15 v1,12,Brake Inspection,8,15:63,2011,64248,2,2023
Yamaha MT15 v1,12,Brake Fluid Change,7,13:44,2011,28282,1,2023
Yamaha FZ V2,10,Oil Change,10,12:47,2013,27062,3,2023
Yamaha R15 V2,13,Fork Oil Change,10,15:56,2010,65323,-1,2023
Yamaha FZ X,6,Complete Check Up,-2,12:-24,2017,26825,9,2023
Yamaha MT15 v1,9,Complete Check Up,27,16:-7,2014,8201,2,2023
Yamaha FZ V2,11,Brake Inspection,14,11:36,2012,32909,6,2023
Yamaha R15 V3,4,Chain Inspection,0,06:-6,2019,41580,7,2023
Yamaha R15 V1,0,Brake Inspection,2,-3:07,2023,30402,2,2023
Yamaha MT15 v1,7,Coolant Oil Change,23,07:23,2016,35997,6,2023
Yamaha R15 V3,8,Brake Inspection,12,05:16,2015,43900,4,2023
Yamaha FZ V1,2,Fork Oil Change,-2,04:25,2021,42146,9,2023
Yamaha R15 V3,2,Chain Inspection,21,02:33,2021,25570,7,2023
Yamaha R15 V4,9,Chain Inspection,3,10:-8,2014,58417,4,2023
Yamaha MT15 v1,9,Brake Fluid Change,25,07:62,2014,16475,5,2023
Yamaha MT15 v2,8,Oil Change,26,11:56,2015,55239,7,2023
Yamaha FZ V1,5,Brake Inspection,13,06:26,2018,39772,4,2023
Yamaha R15 V4,10,Complete Check Up,15,18:65,2013,30846,3,2023
Yamaha MT15 v2,4,Oil Change,18,04:30,2019,24307,4,2023
Yamaha FZ X,12,Complete Check Up,27,23:17,2011,60924,4,2023
Yamaha FZ V3,12,Brake Inspection,23,10:33,2011,63261,5,2023
Yamaha R15 V2,9,Chain Inspection,25,10:48,2014,12640,11,2023
Yamaha MT15 v2,3,Coolant Oil Change,18,03:42,2020,29577,12,2023
Yamaha R15 V3,0,Coolant Oil Change,14,-1:18,2023,26570,10,2023
Yamaha FZ X,8,Complete Check Up,29,14:54,2015,14829,7,2023
Yamaha FZ X,5,Fork Oil Change,19,04:47,2018,22142,2,2023
Yamaha FZ X,6,Fork Oil Change,0,04:15,2017,46587,8,2023
Yamaha FZ V2,11,Air Filter Change,24,08:07,2012,19248,10,2023
Yamaha MT15 v1,7,Complete Check Up,25,17:37,2016,30891,11,2023
Yamaha MT15 v2,5,Brake Fluid Change,14,07:27,2018,34529,3,2023
Yamaha R15 V4,1,Air Filter Change,25,03:54,2022,7405,11,2023
Yamaha FZ V2,13,Oil Change,4,15:21,2010,52873,5,2023
Yamaha FZ V1,2,Brake Inspection,14,05:36,2021,28231,8,2023
Yamaha FZ V2,8,Brake Inspection,19,07:48,2015,54585,-2,2023
Yamaha FZ X,10,Chain Inspection,6,11:42,2013,51872,9,2023
Yamaha R15 V4,2,Complete Check Up,15,05:20,2021,2904,-2,2023
Yamaha R15 V1,4,Coolant Oil Change,11,06:52,2019,26488,5,2023
Yamaha FZ V1,6,Complete Check Up,5,15:32,2017,47143,9,2023
Yamaha MT15 v1,8,Oil Change,23,05:-2,2015,32082,6,2023
Yamaha R15 V2,4,Brake Fluid Change,8,04:-5,2019,8436,10,2023
Yamaha FZ V1,9,Brake Inspection,8,12:-23,2014,32630,12,2023
Yamaha MT15 v2,12,Chain Inspection,5,15:05,2011,44106,0,2023
Yamaha R15 V4,0,Fork Oil Change,4,02:-19,2023,54,9,2023
Yamaha FZ V3,3,Coolant Oil Change,7,06:27,2020,23093,0,2023
Yamaha FZ V3,8,Fork Oil Change,27,07:56,2015,39516,9,2023
Yamaha FZ V3,10,Air Filter Change,7,11:38,2013,51727,3,2023
Yamaha R15 V2,11,Complete Check Up,5,24:66,2012,17317,8,2023
Yamaha R15 V2,13,Complete Check Up,16,26:63,2010,50926,13,2023
Yamaha MT15 v1,12,Air Filter Change,4,14:74,2011,26713,11,2023
Yamaha R15 V2,4,Brake Fluid Change,17,06:27,2019,15947,9,2023
Yamaha MT15 v1,8,Brake Inspection,11,09:13,2015,10474,9,2023
Yamaha MT15 v2,5,Coolant Oil Change,35,02:-14,2018,24170,9,2023
Yamaha FZ V2,10,Chain Inspection,14,07:25,2013,31155,4,2023
Yamaha FZ V3,10,Air Filter Change,5,09:26,2013,31736,6,2023
Yamaha R15 V4,1,Chain Inspection,27,00:39,2022,10929,5,2023
Yamaha FZ 250,5,Fork Oil Change,7,05:15,2018,17041,7,2023
Yamaha MT15 v1,7,Complete Check Up,8,16:21,2016,28359,8,2023
Yamaha FZ V3,8,Chain Inspection,12,10:25,2015,14205,4,2023
Yamaha R15 V2,3,Oil Change,14,02:71,2020,25733,2,2023
Yamaha R15 V3,3,Air Filter Change,5,04:-9,2020,4908,12,2023
Yamaha R15 V1,7,Complete Check Up,26,14:22,2016,19212,6,2023
Yamaha MT15 v2,9,Fork Oil Change,15,11:33,2014,60101,4,2023
Yamaha FZ V1,6,Fork Oil Change,16,03:58,2017,14131,15,2023
Yamaha FZ V3,1,Fork Oil Change,33,03:14,2022,17014,3,2023
Yamaha FZ V2,5,Chain Inspection,4,04:63,2018,8164,3,2023
Yamaha FZ X,9,Brake Fluid Change,12,10:-2,2014,36299,5,2023
Yamaha R15 V3,8,Chain Inspection,15,06:40,2015,54400,3,2023
Yamaha FZ 250,0,Oil Change,21,-2:60,2023,17444,11,2023
Yamaha R15 V3,5,Oil Change,6,02:13,2018,53029,8,2023
Yamaha FZ V3,5,Coolant Oil Change,18,04:48,2018,15745,3,2023
Yamaha FZ V3,4,Complete Check Up,4,08:61,2019,25747,5,2023
Yamaha MT15 v1,3,Complete Check Up,3,06:19,2020,43337,8,2023
Yamaha FZ X,0,Oil Change,18,00:44,2023,23781,3,2023
Yamaha FZ X,10,Coolant Oil Change,31,08:41,2013,37921,5,2023
Yamaha R15 V1,1,Brake Inspection,28,01:24,2022,31012,1,2023
Yamaha FZ V3,8,Brake Fluid Change,2,05:24,2015,41209,2,2023
Yamaha R15 V2,2,Brake Inspection,12,03:-6,2021,38398,5,2023
Yamaha R15 V3,0,Brake Fluid Change,26,02:48,2023,3408,-2,2023
Yamaha FZ V3,1,Air Filter Change,14,00:29,2022,19238,2,2023
Yamaha FZ V2,1,Coolant Oil Change,9,-1:15,2022,-569,9,2023
Yamaha R15 V3,0,Oil Change,10,-1:48,2023,3444,4,2023
Yamaha MT15 v1,13,Fork Oil Change,17,14:20,2010,39317,8,2023
Yamaha R15 V2,3,Coolant Oil Change,5,01:18,2020,6550,7,2023
Yamaha R15 V2,10,Brake Inspection,22,12:42,2013,56827,1,2023
Yamaha R15 V4,3,Brake Fluid Change,-2,00:01,2020,35855,12,2023
Yamaha R15 V3,1,Fork Oil Change,11,01:32,2022,4655,3,2023
Yamaha FZ V2,0,Fork Oil Change,22,-3:44,2023,32119,5,2023
Yamaha MT15 v2,1,Brake Fluid Change,6,02:46,2022,10946,15,2023
Yamaha FZ 250,6,Air Filter Change,22,05:-8,2017,9372,6,2023
Yamaha FZ 250,8,Brake Inspection,25,07:-10,2015,64985,6,2023
Yamaha FZ 250,8,Complete Check Up,29,14:33,2015,36978,12,2023
Yamaha R15 V3,8,Fork Oil Change,0,08:11,2015,48031,-1,2023
Yamaha MT15 v1,1,Brake Fluid Change,24,03:35,2022,12366,9,2023
Yamaha R15 V2,6,Oil Change,14,03:07,2017,23592,5,2023
Yamaha FZ X,0,Coolant Oil Change,-2,03:18,2023,26352,3,2023
Yamaha R15 V2,2,Coolant Oil Change,21,-1:-2,2021,6829,6,2023
Yamaha FZ V3,4,Coolant Oil Change,29,02:31,2019,28065,13,2023
Yamaha R15 V4,2,Complete Check Up,7,07:11,2021,24197,14,2023
Yamaha FZ X,5,Air Filter Change,31,03:00,2018,39763,5,2023
Yamaha R15 V4,3,Brake Fluid Change,8,02:-12,2020,31172,3,2023
Yamaha R15 V3,1,Fork Oil Change,4,00:38,2022,32565,12,2023
Yamaha R15 V4,13,Chain Inspection,12,11:-22,2010,14637,3,2023
Yamaha MT15 v1,4,Fork Oil Change,11,06:38,2019,31886,6,2023
Yamaha FZ X,2,Coolant Oil Change,28,01:42,2021,45901,4,2023
Yamaha R15 V1,7,Air Filter Change,-2,06:29,2016,37143,8,2023
Yamaha FZ V2,7,Air Filter Change,3,06:50,2016,23885,1,2023
Yamaha FZ V1,0,Oil Change,1,-2:09,2023,13488,6,2023
Yamaha FZ V2,10,Chain Inspection,25,07:74,2013,37490,12,2023
Yamaha R15 V4,1,Coolant Oil Change,-1,01:30,2022,9543,13,2023
Yamaha FZ V1,5,Air Filter Change,13,03:10,2018,2149,10,2023
Yamaha FZ X,11,Complete Check Up,11,21:10,2012,63653,10,2023
Yamaha R15 V2,12,Brake Inspection,29,10:30,2011,37686,10,2023
Yamaha FZ V2,11,Complete Check Up,9,21:33,2012,52009,3,2023
Yamaha FZ V1,9,Chain Inspection,33,07:50,2014,43410,6,2023
Yamaha FZ 250,8,Chain Inspection,20,08:27,2015,33197,2,2023
Yamaha R15 V3,5,Fork Oil Change,25,02:26,2018,7206,5,2023
Yamaha R15 V3,11,Brake Inspection,26,10:40,2012,49674,1,2023
Yamaha MT15 v1,4,Brake Inspection,11,03:42,2019,9366,10,2023
Yamaha FZ V2,9,Air Filter Change,25,09:81,2014,44343,6,2023
Yamaha FZ V1,10,Brake Fluid Change,25,13:63,2013,38652,12,2023
Yamaha MT15 v2,1,Oil Change,26,04:47,2022,30325,0,2023
Yamaha FZ V2,2,Oil Change,27,04:13,2021,21369,7,2023
Yamaha MT15 v2,11,Complete Check Up,27,20:-21,2012,44941,9,2023
Yamaha MT15 v1,1,Brake Inspection,20,-2:27,2022,39593,7,2023
Yamaha MT15 v2,0,Brake Inspection,3,02:32,2023,12359,-2,2023
Yamaha FZ V2,3,Coolant Oil Change,2,03:10,2020,21538,6,2023
Yamaha R15 V3,11,Oil Change,13,11:65,2012,43766,7,2023
Yamaha FZ V2,8,Brake Fluid Change,26,08:-13,2015,54831,2,2023
Yamaha R15 V4,8,Coolant Oil Change,21,05:21,2015,39298,3,2023
Yamaha R15 V2,0,Complete Check Up,27,-3:30,2023,13077,8,2023
Yamaha MT15 v2,5,Brake Inspection,8,03:05,2018,48842,0,2023
Yamaha R15 V4,10,Chain Inspection,22,08:07,2013,25106,4,2023
Yamaha FZ V3,11,Oil Change,14,14:02,2012,15318,6,2023
Yamaha R15 V3,1,Complete Check Up,4,05:53,2022,26573,3,2023
Yamaha FZ V2,12,Coolant Oil Change,12,09:53,2011,13953,4,2023
Yamaha R15 V1,8,Oil Change,24,06:59,2015,57743,6,2023
Yamaha R15 V2,1,Oil Change,2,04:24,2022,27675,11,2023
Yamaha MT15 v2,13,Brake Inspection,9,12:22,2010,39333,9,2023
Yamaha FZ V1,4,Brake Inspection,29,04:39,2019,37403,4,2023
Yamaha R15 V3,2,Chain Inspection,20,03:29,2021,38219,11,2023
Yamaha FZ V2,9,Air Filter Change,8,06:23,2014,9555,9,2023
Yamaha FZ V3,6,Air Filter Change,21,08:35,2017,51421,12,2023
Yamaha FZ V1,3,Oil Change,21,05:09,2020,3959,2,2023
Yamaha FZ V1,11,Air Filter Change,21,12:08,2012,33173,-2,2023
Yamaha MT15 v2,8,Air Filter Change,23,08:41,2015,21352,8,2023
Yamaha FZ V2,13,Fork Oil Change,26,16:38,2010,27524,12,2023
Yamaha FZ V2,12,Chain Inspection,8,11:-5,2011,36743,4,2023
Yamaha R15 V3,10,Oil Change,4,07:51,2013,37119,4,2023
Yamaha R15 V2,3,Brake Inspection,13,02:63,2020,8126,3,2023
Yamaha FZ V2,6,Coolant Oil Change,3,03:-17,2017,41369,13,2023
Yamaha FZ V3,8,Fork Oil Change,1,05:24,2015,5727,4,2023
Yamaha FZ V2,4,Complete Check Up,22,10:47,2019,35326,2,2023
Yamaha R15 V2,12,Chain Inspection,6,12:-5,2011,24353,8,2023
Yamaha MT15 v1,8,Chain Inspection,18,10:24,2015,36078,-2,2023
Yamaha MT15 v2,3,Coolant Oil Change,26,06:24,2020,8213,11,2023
Yamaha FZ V1,11,Fork Oil Change,0,09:46,2012,30978,4,2023
Yamaha R15 V3,4,Oil Change,11,04:09,2019,42572,8,2023
Yamaha MT15 v1,8,Fork Oil Change,14,11:39,2015,56767,5,2023
Yamaha R15 V4,9,Chain Inspection,11,11:-5,2014,56319,11,2023
Yamaha FZ V1,11,Fork Oil Change,19,10:33,2012,67212,4,2023
Yamaha FZ V1,5,Chain Inspection,25,05:45,2018,27315,-1,2023
Yamaha R15 V4,8,Coolant Oil Change,11,06:60,2015,31305,5,2023
Yamaha R15 V1,9,Coolant Oil Change,16,09:37,2014,24013,5,2023
Yamaha R15 V3,12,Chain Inspection,11,10:51,2011,16193,9,2023
Yamaha R15 V2,11,Complete Check Up,14,20:20,2012,64382,7,2023
Yamaha FZ V1,13,Fork Oil Change,7,14:17,2010,45786,9,2023
Yamaha FZ X,12,Air Filter Change,20,12:28,2011,37636,8,2023
Yamaha R15 V4,0,Oil Change,17,02:21,2023,14573,13,2023
Yamaha MT15 v2,10,Coolant Oil Change,-1,12:31,2013,50131,3,2023
Yamaha R15 V1,11,Air Filter Change,26,14:17,2012,43090,6,2023
Yamaha FZ V3,1,Fork Oil Change,17,03:34,2022,4486,14,2023
Yamaha R15 V4,1,Fork Oil Change,15,03:-2,2022,26419,8,2023
Yamaha R15 V4,11,Oil Change,19,14:16,2012,21714,5,2023
Yamaha R15 V1,10,Air Filter Change,16,09:51,2013,26948,12,2023
Yamaha MT15 v1,13,Oil Change,16,10:35,2010,62688,3,2023
Yamaha FZ 250,4,Coolant Oil Change,27,04:40,2019,20721,9,2023
Yamaha FZ X,12,Brake Inspection,19,14:10,2011,68693,8,2023
Yamaha R15 V3,5,Fork Oil Change,8,06:24,2018,14266,14,2023
Yamaha FZ 250,10,Air Filter Change,20,10:14,2013,35480,9,2023
Yamaha FZ V1,1,Fork Oil Change,18,-2:29,2022,11781,-1,2023
Yamaha R15 V3,6,Complete Check Up,14,15:23,2017,25080,1,2023
Yamaha FZ V1,6,Brake Fluid Change,0,08:48,2017,40243,5,2023
Yamaha MT15 v2,0,Coolant Oil Change,13,02:79,2023,11277,3,2023
Yamaha MT15 v1,12,Brake Inspection,4,15:28,2011,51853,6,2023
Yamaha MT15 v1,9,Coolant Oil Change,4,06:41,2014,20223,7,2023
Yamaha FZ V2,2,Complete Check Up,-2,02:54,2021,30160,3,2023
Yamaha MT15 v1,4,Fork Oil Change,33,07:56,2019,13724,1,2023
Yamaha R15 V4,1,Coolant Oil Change,3,02:10,2022,18175,4,2023
Yamaha FZ V1,4,Oil Change,7,01:11,2019,4346,3,2023
Yamaha R15 V4,0,Air Filter Change,12,-3:-6,2023,31519,3,2023
Yamaha FZ V1,7,Complete Check Up,11,13:43,2016,17019,4,2023
Yamaha MT15 v1,3,Oil Change,26,01:21,2020,3356,10,2023
Yamaha R15 V4,8,Brake Fluid Change,3,07:37,2015,1567,-1,2023
Yamaha FZ V3,11,Coolant Oil Change,5,14:40,2012,44522,6,2023
Yamaha FZ X,6,Air Filter Change,2,03:37,2017,36922,12,2023
Yamaha MT15 v1,11,Air Filter Change,4,08:26,2012,57606,10,2023
Yamaha FZ 250,13,Brake Inspection,23,14:13,2010,15372,9,2023
Yamaha FZ 250,5,Brake Inspection,9,06:67,2018,19343,1,2023
Yamaha R15 V2,13,Complete Check Up,21,23:22,2010,35791,9,2023
Yamaha R15 V4,9,Chain Inspection,20,07:07,2014,10597,4,2023
Yamaha R15 V3,1,Brake Fluid Change,6,03:38,2022,5251,5,2023
Yamaha R15 V4,8,Air Filter Change,-2,08:07,2015,45317,7,2023
Yamaha MT15 v2,2,Fork Oil Change,27,04:43,2021,46401,5,2023
Yamaha FZ V3,10,Fork Oil Change,29,13:23,2013,32473,4,2023
Yamaha R15 V1,2,Chain Inspection,9,05:38,2021,1616,6,2023
Yamaha R15 V3,8,Chain Inspection,25,06:60,2015,18454,11,2023
Yamaha FZ V2,6,Air Filter Change,26,07:51,2017,43008,0,2023
Yamaha R15 V1,6,Oil Change,23,03:41,2017,45041,5,2023
Yamaha MT15 v1,12,Fork Oil Change,15,13:33,2011,59028,5,2023
Yamaha R15 V2,9,Oil Change,20,09:58,2014,43399,0,2023
Yamaha R15 V2,0,Brake Inspection,23,-3:68,2023,34055,-1,2023
Yamaha R15 V4,2,Brake Fluid Change,12,04:09,2021,19195,8,2023
Yamaha R15 V2,5,Air Filter Change,17,03:03,2018,8381,6,2023
Yamaha R15 V4,8,Fork Oil Change,20,05:01,2015,18946,9,2023
Yamaha FZ V3,7,Coolant Oil Change,31,09:63,2016,17402,6,2023
Yamaha FZ V2,5,Brake Fluid Change,5,05:-13,2018,25462,11,2023
Yamaha FZ 250,3,Air Filter Change,7,05:62,2020,12041,12,2023
Yamaha R15 V3,0,Air Filter Change,23,03:50,2023,5066,9,2023
Yamaha R15 V1,13,Chain Inspection,8,16:00,2010,13301,8,2023
Yamaha FZ V1,3,Air Filter Change,24,05:54,2020,7511,5,2023
Yamaha FZ V1,11,Air Filter Change,-3,14:17,2012,28788,9,2023
Yamaha R15 V2,11,Brake Fluid Change,9,09:38,2012,29806,0,2023
Yamaha FZ V3,1,Air Filter Change,13,00:-8,2022,15711,10,2023
Yamaha MT15 v1,2,Brake Inspection,6,01:32,2021,37011,8,2023
Yamaha R15 V2,13,Brake Fluid Change,16,14:25,2010,38137,7,2023
Yamaha R15 V4,12,Chain Inspection,5,10:02,2011,66678,11,2023
Yamaha FZ V1,10,Brake Inspection,12,10:23,2013,15360,2,2023
Yamaha FZ V2,8,Brake Fluid Change,18,05:53,2015,37053,8,2023
Yamaha MT15 v2,6,Air Filter Change,20,04:17,2017,48362,3,2023
Yamaha R15 V1,4,Air Filter Change,-5,07:28,2019,49683,3,2023
Yamaha MT15 v1,2,Coolant Oil Change,25,02:46,2021,22780,11,2023
Yamaha MT15 v2,12,Oil Change,-3,13:38,2011,38469,14,2023
Yamaha MT15 v2,5,Complete Check Up,5,12:49,2018,9287,5,2023
Yamaha FZ 250,5,Coolant Oil Change,15,07:59,2018,33151,8,2023
Yamaha FZ V1,4,Brake Fluid Change,31,06:-23,2019,7440,11,2023
Yamaha FZ 250,2,Air Filter Change,6,04:38,2021,9619,7,2023
Yamaha R15 V1,10,Air Filter Change,30,10:05,2013,34796,4,2023
Yamaha FZ 250,1,Complete Check Up,26,05:36,2022,16617,8,2023
Yamaha FZ V2,5,Air Filter Change,4,05:-10,2018,51460,13,2023
Yamaha R15 V3,11,Brake Inspection,9,11:28,2012,61432,8,2023
Yamaha FZ 250,5,Coolant Oil Change,0,06:33,2018,16426,-2,2023
Yamaha FZ V2,13,Chain Inspection,22,15:48,2010,32799,5,2023
Yamaha R15 V4,5,Complete Check Up,26,12:74,2018,23788,3,2023
Yamaha FZ X,0,Fork Oil Change,20,-3:65,2023,26933,5,2023
Yamaha FZ X,0,Complete Check Up,25,02:22,2023,35039,8,2023
Yamaha MT15 v1,8,Complete Check Up,15,17:85,2015,30075,6,2023
Yamaha MT15 v1,9,Chain Inspection,13,11:16,2014,41445,8,2023
Yamaha MT15 v2,8,Chain Inspection,33,10:67,2015,32282,9,2023
Yamaha MT15 v2,9,Complete Check Up,0,19:37,2014,21525,3,2023
Yamaha FZ V1,12,Fork Oil Change,8,09:54,2011,31931,9,2023
Yamaha FZ 250,9,Fork Oil Change,34,09:28,2014,48665,4,2023
Yamaha FZ 250,0,Fork Oil Change,10,00:62,2023,31241,2,2023
Yamaha MT15 v1,2,Brake Fluid Change,4,-1:40,2021,23610,11,2023
Yamaha FZ 250,4,Brake Inspection,2,01:52,2019,43339,3,2023
Yamaha FZ V1,8,Brake Fluid Change,8,11:19,2015,27902,5,2023
Yamaha R15 V4,7,Chain Inspection,6,09:11,2016,6972,3,2023
Yamaha R15 V3,3,Coolant Oil Change,26,04:39,2020,16078,9,2023
Yamaha R15 V2,13,Air Filter Change,17,12:-8,2010,7723,10,2023
Yamaha FZ V2,2,Chain Inspection,16,00:85,2021,39585,4,2023
Yamaha R15 V1,5,Chain Inspection,13,07:-4,2018,22802,7,2023
Yamaha R15 V1,1,Complete Check Up,17,04:21,2022,27358,5,2023
Yamaha FZ V2,8,Chain Inspection,23,11:03,2015,31011,4,2023
Yamaha FZ 250,7,Fork Oil Change,21,09:30,2016,3355,4,2023
Yamaha R15 V2,7,Air Filter Change,3,09:07,2016,3723,7,2023
Yamaha R15 V4,2,Brake Fluid Change,11,03:53,2021,41747,6,2023
Yamaha R15 V4,5,Complete Check Up,21,13:84,2018,4818,10,2023
Yamaha FZ X,8,Chain Inspection,2,06:00,2015,12081,10,2023
Yamaha R15 V3,0,Fork Oil Change,24,-1:26,2023,40190,3,2023
Yamaha R15 V4,9,Brake Fluid Change,-4,07:57,2014,6619,6,2023
Yamaha R15 V2,13,Coolant Oil Change,15,16:15,2010,43465,7,2023
Yamaha FZ V1,0,Brake Inspection,29,-1:76,2023,23594,6,2023
Yamaha FZ V3,13,Chain Inspection,16,10:21,2010,41209,2,2023
Yamaha R15 V1,9,Oil Change,9,08:-3,2014,38938,8,2023
Yamaha R15 V1,9,Coolant Oil Change,20,10:21,2014,23106,5,2023
Yamaha FZ V2,11,Chain Inspection,4,13:18,2012,61985,10,2023
Yamaha R15 V1,3,Air Filter Change,10,04:33,2020,30232,12,2023
Yamaha MT15 v2,9,Oil Change,18,06:43,2014,46251,11,2023
Yamaha FZ V3,4,Chain Inspection,15,01:19,2019,39145,10,2023
Yamaha MT15 v1,13,Brake Fluid Change,21,12:43,2010,30559,3,2023
